epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.38229,1.16401,2.93557,1.45529,0.2931,0.31409,0.29357,0.18662,1.25438,2.50853,1.72199,0.000469718,0.000469718,0.000469718
2,16.3607,1.18803,2.23565,1.47606,0.39544,0.41618,0.37339,0.22209,1.39707,2.53273,1.99131,0.000922636,0.000922636,0.000922636
3,23.2926,1.18597,2.04202,1.46361,0.29902,0.57006,0.37508,0.23103,1.34434,2.89746,1.80994,0.00135198,0.00135198,0.00135198
4,30.8536,1.18002,1.88739,1.44383,0.21976,0.38509,0.1852,0.0918,1.64482,3.33609,2.13456,0.0013229,0.0013229,0.0013229
5,37.9335,1.15674,1.74695,1.42234,0.51925,0.49985,0.50864,0.32261,1.2554,1.92664,1.68665,0.00128753,0.00128753,0.00128753
6,44.9015,1.11329,1.58205,1.38048,0.49917,0.56668,0.53263,0.31344,1.315,2.00266,1.68629,0.00125216,0.00125216,0.00125216
7,52.3741,1.08449,1.53952,1.37295,0.60696,0.67876,0.68017,0.45291,1.21796,1.54077,1.66423,0.00121679,0.00121679,0.00121679
8,59.0764,1.06011,1.42526,1.34806,0.54699,0.50141,0.51694,0.3586,1.15067,1.77037,1.57051,0.00118143,0.00118143,0.00118143
9,65.7935,1.02644,1.3363,1.32896,0.67322,0.63147,0.66758,0.44019,1.15884,1.38816,1.57596,0.00114606,0.00114606,0.00114606
10,72.524,1.00145,1.32267,1.31184,0.7207,0.64681,0.69953,0.47402,1.22203,1.46711,1.6916,0.00111069,0.00111069,0.00111069
11,79.2192,0.97649,1.21355,1.28529,0.69822,0.64211,0.70749,0.50171,1.11026,1.288,1.53873,0.00107532,0.00107532,0.00107532
12,85.8482,0.97463,1.20262,1.29028,0.79515,0.70049,0.77861,0.57202,0.95251,1.08387,1.39696,0.00103995,0.00103995,0.00103995
13,92.5374,0.94967,1.17118,1.26325,0.70211,0.66177,0.72104,0.51363,1.00955,1.30682,1.41359,0.00100459,0.00100459,0.00100459
14,99.3612,0.91065,1.10689,1.24599,0.78346,0.73812,0.80888,0.59534,0.97843,1.03497,1.40713,0.000969219,0.000969219,0.000969219
